State/Area,MMR2 doses(%) 2011/12
Alabama,93.6
Alaska,95.5
Arizona,94.7
Arkansas,94.9
California,93.2
Colorado,86.8
Connecticut,97.4
Delaware,96.9
District of Columbia,94.0
Florida,92.6
Georgia,96.6
Hawaii,94.4
Idaho,89.2
Illinois,97.3
Indiana,93.3
Iowa,91.1
Kansas,88.2
Kentucky,92.0
Louisiana,98.1
Maine,93.0
Maryland,98.7
Massachusetts,94.2
Michigan,95.0
Minnesota,95.7
Mississippi,99.2
Missouri,96.8
Montana,95.0
Nebraska,99.0
Nevada,95.3
New Hampshire,—†††
New Jersey,—†††
New Mexico,95.7
New York State,96.9
North Carolina,97.2
North Dakota,90.6
Ohio,96.1
Oklahoma,95.0
Oregon,94.0
Pennsylvania,86.9
Rhode Island,91.7
South Carolina,94.5
South Dakota,97.4
Tennessee,97.3
Texas,99.3
"Houston, TX",99.5
Utah,98.0
Vermont,92.9
Virginia,93.0
Washington,91.8
West Virginia,92.0
Wisconsin,93.1
Wyoming,—§§
