State/Area,MMR2 doses(%) 2012/13
Alabama**,(92.8)
Alaska,—††
Arizona,(94.5)
Arkansas,(85.9)
California**,(92.7)
Colorado,(85.7)
Connecticut,(97.1)
Delaware,(≥95.7)
District of Columbia,(91.8)
Florida,(≥92.1)§§
Georgia,(≥95.1)
Hawaii**,(97.3)
Idaho,(88.4)
Illinois,(95.5)
Indiana,(95.4)
Iowa,(≥90.5)
Kansas,(90.0)
Kentucky**,(92.4)
Louisiana,(96.6)
Maine**,(91.3)
Maryland**,(98.2)
Massachusetts**,(94.8)
Michigan,(94.4)
Minnesota**,(96.3)
Mississippi,(≥99.9)
Missouri,(96.7)
Montana,(94.8)
Nebraska**,(96.0)
Nevada,(93.6)
New Hampshire,—††
New Jersey,(≥97.0)
New Mexico,(93.9)
New York**,(96.6)
North Carolina,(97.3)
North Dakota,(89.9)
Ohio,(96.3)
Oklahoma,(90.5)
Oregon,(93.5)
Pennsylvania,(87.0)
Rhode Island**,(94.2)
South Carolina,(≥90.9)
South Dakota,(97.9)
Tennessee,(≥94.5)
Texas,(97.5)
Houston,(95.8)
Utah,(96.3)
Vermont,(92.8)
Virginia,(93.1)
Washington,(91.7)
West Virginia,(96.3)
Wisconsin,(92.8)
Wyoming,(97.5)
