State/Area,MMR2 doses(%) 2015/16
Alabama§§,≥93.1
"Alaska¶¶,***",93.5
Arizona§§,94.2
Arkansas†††,90.8
California†††,94.5
Colorado,87.1
Connecticut§§,97.0
Delaware,97.6
District of Columbia§§,88.5
"Florida§§,¶¶",≥93.7
Georgia§§,≥94.6
Hawaii,91.6
Idaho§§,90.2
Illinois§§,94.9
Indiana,89.2
Iowa§§,≥91.8
"Kansas¶¶,***,†††",89.4
"Kentucky¶¶,†††",92.2
Louisiana§§,96.8
Maine,95.1
Maryland†††,99.4
"Massachusetts§§,†††",96.4
Michigan§§,95.7
Minnesota¶¶,92.8
Mississippi§§,≥99.4
"Missouri§§,¶¶",95.7
Montana§§,94.9
"Nebraska§§,†††",95.6
Nevada,94.7
New Hampshire,≥91.9
New Jersey§§,≥96.3
New Mexico***,96.2
New York (including New York City)§§,95.6
New York City§§,94.6
"North Carolina¶¶,†††",97.3
North Dakota,90.7
Ohio,92.1
Oklahoma†††,94.4
"Oregon§§,†††",93.9
Pennsylvania,95.5
"Rhode Island§§,¶¶,†††",96.4
South Carolina,96.5
South Dakota§§,96.5
"Tennessee§§,¶¶",93.5
"Texas (including Houston)¶¶,†††",97.6
"Houston, TX¶¶,†††",96.5
Utah§§,94.2
Vermont§§,93.6
"Virginia¶¶,***",95.7
Washington¶¶,91.0
West Virginia,95.2
"Wisconsin¶¶,†††",93.2
"Wyoming¶¶,¶¶¶",96.9
Guam***,89.8
N. Mariana Islands§§,89.8
Puerto Rico,96.5
U.S. Virgin Islands,87.2
